Operation Type,Counterparty,Currency,Trade Date,Settlement Date,Maturity Date,Term (days),Amount,Interest Rate,isSmallValue,Last Updated
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/21/2022,12/22/2022,1/5/2023,14,412200000.00,4.59,,12/22/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/14/2022,12/15/2022,12/22/2022,7,209000000.00,4.59,,12/15/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,12/13/2022,12/15/2022,12/22/2022,7,1000000.00,4.53,,12/15/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/7/2022,12/8/2022,12/15/2022,7,205500000.00,4.09,,12/8/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,12/6/2022,12/8/2022,12/15/2022,7,1000000.00,4.09,,12/8/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/30/2022,12/1/2022,12/8/2022,7,199000000.00,4.08,,12/1/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/23/2022,11/25/2022,12/1/2022,6,203700000.00,4.08,,11/25/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/16/2022,11/17/2022,11/25/2022,8,199500000.00,4.08,,11/17/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,11/15/2022,11/17/2022,11/25/2022,8,2000000.00,4.08,,11/17/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/9/2022,11/10/2022,11/17/2022,7,202000000.00,4.09,,11/10/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/2/2022,11/3/2022,11/10/2022,7,194500000.00,4.08,,11/3/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/26/2022,10/27/2022,11/3/2022,7,202500000.00,3.33,,10/27/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/19/2022,10/20/2022,10/27/2022,7,210500000.00,3.33,,10/20/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,10/18/2022,10/20/2022,10/27/2022,7,1000000.00,3.33,,10/20/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/12/2022,10/13/2022,10/20/2022,7,211500000.00,3.33,,10/13/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/5/2022,10/6/2022,10/13/2022,7,206500000.00,3.33,,10/6/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/28/2022,9/29/2022,10/6/2022,7,274800000.00,3.34,,9/29/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/21/2022,9/22/2022,9/29/2022,7,215500000.00,3.38,,9/22/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/14/2022,9/15/2022,9/22/2022,7,209600000.00,2.58,,9/15/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/13/2022,9/15/2022,9/22/2022,7,3000000.00,2.58,,9/15/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/7/2022,9/8/2022,9/15/2022,7,203000000.00,2.58,,9/8/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/31/2022,9/1/2022,9/8/2022,7,196500000.00,2.58,,9/1/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/24/2022,8/25/2022,9/1/2022,7,168700000.00,2.58,,8/25/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/23/2022,8/25/2022,9/1/2022,7,2000000.00,2.58,,8/25/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/17/2022,8/18/2022,8/25/2022,7,165000000.00,2.58,,8/18/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/16/2022,8/18/2022,8/25/2022,7,1000000.00,2.58,,8/18/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/10/2022,8/11/2022,8/18/2022,7,188500000.00,2.6,,8/11/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/3/2022,8/4/2022,8/11/2022,7,191200000.00,2.58,,8/4/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/27/2022,7/28/2022,8/4/2022,7,211500000.00,2.61,,7/28/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/26/2022,7/28/2022,8/4/2022,7,1000000.00,2.5,,7/28/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/20/2022,7/21/2022,7/28/2022,7,205900000.00,1.83,,7/21/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/13/2022,7/14/2022,7/21/2022,7,194600000.00,1.84,,7/14/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/6/2022,7/7/2022,7/14/2022,7,184500000.00,1.83,,7/7/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/29/2022,6/30/2022,7/7/2022,7,346500000.00,1.84,,6/30/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/22/2022,6/23/2022,6/30/2022,7,184400000.00,1.84,,6/23/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/15/2022,6/16/2022,6/23/2022,7,190500000.00,1.8,,6/16/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,6/14/2022,6/16/2022,6/23/2022,7,1000000.00,1.68,,6/16/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/8/2022,6/9/2022,6/16/2022,7,198500000.00,1.08,,6/9/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/31/2022,6/1/2022,6/9/2022,8,182500000.00,1.08,,6/2/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/25/2022,5/27/2022,6/1/2022,5,186000000.00,1.08,,5/26/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/18/2022,5/19/2022,5/27/2022,8,208500000.00,1.08,,5/19/2022 16:00
Non-U.S. Dollar Liquidity Swap,Bank of Japan,JPY,5/18/2022,5/19/2022,5/20/2022,1,51000.00,0.231,Y,5/19/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/11/2022,5/12/2022,5/19/2022,7,214000000.00,1.08,,5/12/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/4/2022,5/5/2022,5/12/2022,7,222000000.00,1.1,,5/5/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/27/2022,4/28/2022,5/5/2022,7,225000000.00,0.58,,4/28/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/20/2022,4/21/2022,4/28/2022,7,214000000.00,0.58,,4/21/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/13/2022,4/14/2022,4/21/2022,7,236000000.00,0.57,,4/14/2022 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/12/2022,4/14/2022,4/21/2022,7,1000000.00,0.6,,4/14/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/6/2022,4/7/2022,4/14/2022,7,232500000.00,0.6,,4/7/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/30/2022,3/31/2022,4/7/2022,7,365500000.00,0.59,,3/31/2022 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/23/2022,3/24/2022,3/31/2022,7,230500000.00,0.58,,3/24/2022 16:00
