country_name,iso3c,em_dm,year,gdp_usd_current_prices,gdp_ppp_current_prices,gdp_pc_usd_current_prices,gdp_pc_ppp_current_prices,population,govt_expenditure_pct_gdp,debt_pct_gdp,territorial_co2,trade_co2,consumption_co2,cumulative_co2,debt_usd,govt_expenditure_usd,territorial_co2_per_capita,trade_co2_per_capita,consumption_co2_per_capita,territorial_co2_per_gdp,trade_co2_per_gdp,consumption_co2_per_gdp,territorial_co2_per_debt,trade_co2_per_debt,consumption_co2_per_debt,territorial_co2_per_govt_expenditure,trade_co2_per_govt_expenditure,consumption_co2_govt_expenditure,trade_pct_of_consumption_co2,cumulative_co2_per_capita
Angola,AGO,Emerging Markets,1990,12.571,19.681,986.639,1544.61,12.741999999999999,NA,NA,5.09,NA,NA,115.663,NA,NA,0.39946633181604146,NA,NA,0.25862506986433614,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.077303406058704
Angola,AGO,Emerging Markets,1991,12.186,22.805,928.506,1737.6699999999998,13.123999999999999,NA,NA,5.064,NA,NA,120.727,NA,NA,0.38585797013105766,NA,NA,0.22205656654242492,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.198948491313626
Angola,AGO,Emerging Markets,1992,9.395000000000001,25.983999999999998,695.059,1922.26,13.517999999999999,NA,NA,5.164,NA,NA,125.891,NA,NA,0.3820091729545791,NA,NA,0.19873768472906403,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.312842136410714
Angola,AGO,Emerging Markets,1993,6.819,29.518,489.755,2120.07,13.923,NA,NA,5.748,NA,NA,131.64,NA,NA,0.41284205990088346,NA,NA,0.1947286401517718,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.454858866623571
Angola,AGO,Emerging Markets,1994,4.965,33.31699999999999,346.239,2323.25,14.341,NA,NA,3.865,NA,NA,135.504,NA,NA,0.2695070078795063,NA,NA,0.11600684335324311,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4487134788369
Angola,AGO,Emerging Markets,1995,6.196999999999999,37.541,419.529,2541.54,14.770999999999999,NA,NA,10.949,NA,NA,146.453,NA,NA,0.7412497461241623,NA,NA,0.29165445779281324,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.914900819172704
Angola,AGO,Emerging Markets,1996,7.994,42.513,525.403,2794.3100000000004,15.213999999999999,33.197,NA,10.424,NA,NA,156.877,NA,265.376818,0.6851584067306429,NA,NA,0.24519558723214074,NA,NA,NA,NA,NA,0.03927999468288145,NA,NA,NA,10.311357959773893
Angola,AGO,Emerging Markets,1997,9.388,46.392,599.077,2960.4500000000003,15.671,35.186,NA,7.348,NA,NA,164.225,NA,330.326168,0.46889158317912066,NA,NA,0.15838937747887566,NA,NA,NA,NA,NA,0.022244680294296274,NA,NA,NA,10.479548210069556
Angola,AGO,Emerging Markets,1998,7.958,49.115,493.041,3042.9300000000003,16.141000000000002,34.339,NA,7.268,NA,NA,171.493,NA,273.269762,0.4502818908369989,NA,NA,0.14797923241372288,NA,NA,NA,NA,NA,0.026596429648151117,NA,NA,NA,10.624682485595686
Angola,AGO,Emerging Markets,1999,7.526,50.893,452.677,3061.2799999999997,16.625,51.772000000000006,NA,9.13,NA,NA,180.624,NA,389.636072,0.5491729323308271,NA,NA,0.17939598766038553,NA,NA,NA,NA,NA,0.02343212206492011,NA,NA,NA,10.864601503759399
Angola,AGO,Emerging Markets,2000,11.166,53.636,652.11,3132.3,17.124000000000002,40.568000000000005,133.914,9.516,NA,NA,190.14,1495.283724,452.9822880000001,0.5557112824106516,NA,NA,0.1774181519874711,NA,NA,0.006364009617214292,NA,NA,0.021007443893700316,NA,NA,NA,11.10371408549404
Angola,AGO,Emerging Markets,2001,10.93,57.150999999999996,619.697,3240.3700000000003,17.637000000000004,34.287,113.505,9.671,NA,NA,199.811,1240.6096499999999,374.75691,0.5483358847876622,NA,NA,0.16921838637994085,NA,NA,0.007795360934037552,NA,NA,0.02580606185487013,NA,NA,NA,11.329080909451719
Angola,AGO,Emerging Markets,2002,15.286,65.974,841.42,3631.64,18.166,31.223,73.736,12.598,NA,NA,212.409,1127.128496,477.27477799999997,0.6934933392051085,NA,NA,0.19095401218661898,NA,NA,0.011177075235617147,NA,NA,0.026395696107788042,NA,NA,NA,11.692667620830122
Angola,AGO,Emerging Markets,2003,17.813000000000002,69.288,951.9689999999999,3702.9500000000003,18.711000000000002,34.4,57.968,8.989,NA,NA,221.398,1032.583984,612.7672,0.48041259152370264,NA,NA,0.1297338644498326,NA,NA,0.00870534517219473,NA,NA,0.014669518864586749,NA,NA,NA,11.832504943616053
Angola,AGO,Emerging Markets,2004,23.552,78.94000000000001,1222.04,4095.9500000000003,19.273,29.803,47.717,18.701,NA,NA,240.098,1123.830784,701.920256,0.9703211747003581,NA,NA,0.2369014441347859,NA,NA,0.016640405536355197,NA,NA,0.02664262762065097,NA,NA,NA,12.45773880558294
Angola,AGO,Emerging Markets,2005,36.971,93.65199999999999,1862.42,4717.74,19.851000000000003,26.527,33.464,19.006,NA,NA,259.104,1237.1975439999999,980.7297169999999,0.95743287491814,NA,NA,0.2029428095502499,NA,NA,0.01536213848158108,NA,NA,0.019379447436484686,NA,NA,NA,13.05244068308901
Angola,AGO,Emerging Markets,2006,52.38099999999999,107.69,2561.86,5266.91,20.445999999999998,30.604000000000003,18.729,22.102,NA,NA,281.206,981.0437489999998,1603.068124,1.0809938374254133,NA,NA,0.20523725508403753,NA,NA,0.02252906664206267,NA,NA,0.013787311761181274,NA,NA,NA,13.753594835175587
Angola,AGO,Emerging Markets,2007,65.266,126.095,3099.09,5987.46,21.06,38.129000000000005,21.043,24.977,NA,NA,306.183,1373.392438,2488.5273140000004,1.1859924026590694,NA,NA,0.19808081208612555,NA,NA,0.018186353229360068,NA,NA,0.01003685989680883,NA,NA,NA,14.53860398860399
Angola,AGO,Emerging Markets,2008,88.539,142.863,4081.69,6586.08,21.692,52.666000000000004,31.378,25.486,NA,NA,331.669,2778.176742,4662.994974,1.174903190116172,NA,NA,0.17839468581788148,NA,NA,0.009173642416159858,NA,NA,0.0054655859897137435,NA,NA,NA,15.289922552092937
Angola,AGO,Emerging Markets,2009,70.307,145.01299999999998,3146.8,6490.49,22.342,45.007,56.302,27.565,NA,NA,359.234,3958.424714,3164.3071489999998,1.2337749530033122,NA,NA,0.19008640604635452,NA,NA,0.006963628713843969,NA,NA,0.008711227672291936,NA,NA,NA,16.078864918091487
Angola,AGO,Emerging Markets,2010,83.799,153.88700000000003,3641.44,6687.07,23.013,39.394,37.163000000000004,28.865,NA,NA,388.099,3114.2222370000004,3301.177806,1.2542910528831528,NA,NA,0.18757269944829644,NA,NA,0.009268766903355714,NA,NA,0.008743848921902027,NA,NA,NA,16.864337548342238
Angola,AGO,Emerging Markets,2011,111.79,162.539,4716.25,6857.29,23.703,37.402,29.558,30.33,NA,NA,418.429,3304.28882,4181.169580000001,1.2795848626756106,NA,NA,0.18660136951746967,NA,NA,0.009178979699480385,NA,NA,0.00725395117793811,NA,NA,NA,17.652997510863603
Angola,AGO,Emerging Markets,2012,128.053,186.124,5245.02,7623.610000000001,24.414,37.209,26.691000000000003,33.801,NA,NA,452.229,3417.8626230000004,4764.724077,1.384492504300811,NA,NA,0.18160473662719478,NA,NA,0.009889513923860244,NA,NA,0.007094009947640458,NA,NA,NA,18.523347259768983
Angola,AGO,Emerging Markets,2013,136.70999999999998,199.866,5436.52,7948.02,25.147000000000002,37.05,33.149,33.229,NA,NA,485.458,4531.799789999999,5065.105499999999,1.3213902254742116,NA,NA,0.16625639178249427,NA,NA,0.007332406889051912,NA,NA,0.006560376679222182,NA,NA,NA,19.304807730544397
Angola,AGO,Emerging Markets,2014,145.712,220.365,5625.74,8507.96,25.901,36.456999999999994,39.809999999999995,33.296,NA,NA,518.754,5800.794719999999,5312.222383999999,1.285510211960928,NA,NA,0.15109477457854015,NA,NA,0.005739903169681551,NA,NA,0.0062678098906937645,NA,NA,NA,20.028338674182464
Angola,AGO,Emerging Markets,2015,116.194,204.60399999999998,4354.92,7668.51,26.681,27.051000000000002,57.093,33.621,NA,NA,552.375,6633.864042,3143.1638940000003,1.26011019077246,NA,NA,0.1643223006392837,NA,NA,0.005068086983263502,NA,NA,0.010696546897913686,NA,NA,NA,20.70293467261347
Angola,AGO,Emerging Markets,2016,101.124,204.875,3676.8300000000004,7449.18,27.503,22.043,75.663,31.404,NA,NA,583.779,7651.345211999999,2229.0763319999996,1.1418390721012253,NA,NA,0.15328370957901158,NA,NA,0.004104376306371262,NA,NA,0.014088346616566204,NA,NA,NA,21.226011707813694
Angola,AGO,Emerging Markets,2017,122.02199999999999,217.805,4300.1,7675.54,28.377000000000002,24.103,69.323,28.42,NA,NA,612.2,8458.931105999998,2941.096266,1.001515311696092,NA,NA,0.13048368953880765,NA,NA,0.00335976255674212,NA,NA,0.009663063507490102,NA,NA,NA,21.57380977552243
Angola,AGO,Emerging Markets,2018,101.353,218.446,3465.06,7468.25,29.25,20.579,92.995,24.376,NA,NA,636.575,9425.322235,2085.743387,0.8333675213675215,NA,NA,0.11158821859864682,NA,NA,0.002586224575907033,NA,NA,0.011686960223357525,NA,NA,NA,21.763247863247866
Angola,AGO,Emerging Markets,2019,84.516,221.164,2805.2599999999998,7340.92,30.128,20.403,113.554,23.487,NA,NA,660.062,9597.129864,1724.379948,0.7795738183749336,NA,NA,0.10619721111935035,NA,NA,0.0024472941736573333,NA,NA,0.013620548085844477,NA,NA,NA,21.908590015932024
Argentina,ARG,Emerging Markets,1990,158.024,230.785,4857.8,7094.54,32.53,NA,NA,112.079,-0.091,111.988,3671.448,NA,NA,3.445404242237934,-0.0027974177682139564,3.44260682446972,0.485642481097125,-3.94306389063414e-4,0.48524817470806164,NA,NA,NA,NA,NA,NA,-8.125870628995964e-4,112.86344912388563
Argentina,ARG,Emerging Markets,1991,211.97899999999998,263.638,6429.45,7996.31,32.97,NA,NA,117.506,2.965,120.471,3788.954,NA,NA,3.5640279041552927,0.08993023961176827,3.653958143767061,0.44570964731943047,0.011246481918388094,0.4569561292378186,NA,NA,NA,NA,NA,NA,0.024611732284118167,114.9212617531089
Argentina,ARG,Emerging Markets,1992,255.787,297.41799999999995,7653.71,8899.4,33.42,NA,24.961,121.231,6.484,127.714,3910.185,6384.699307,NA,3.627498503889886,0.19401555954518251,3.8214841412327947,0.40761150972705085,0.02180096698922056,0.42940911444498997,0.01898773836805217,0.0010155529161555235,0.020003134659760415,NA,NA,NA,0.050769688522793115,117.00134649910233
Argentina,ARG,Emerging Markets,1993,264.429,323.49899999999997,7796.24,9537.83,33.916999999999994,22.017000000000003,26.893,117.777,5.362,123.14,4027.962,7111.289097,5821.933293,3.4725064127133893,0.15809181236548048,3.630627708818587,0.3640722227889422,0.01657501259663863,0.3806503265852445,0.016561976090901147,7.54012377623916e-4,0.01731612909000541,0.02022987795851408,9.209999033219772e-4,0.02115104962608509,0.04354393373396134,118.75938320016513
Argentina,ARG,Emerging Markets,1994,287.835,349.671,8378.740000000002,10178.730000000001,34.352999999999994,22.938,28.426,122.229,4.723,126.952,4150.191,8181.997709999999,6602.359229999999,3.5580298663872156,0.13748435362268216,3.6955142200098976,0.3495542953233182,0.013506982277626683,0.36306127760094487,0.014938772208480612,5.7724288949966e-4,0.015516015097980273,0.01851292784018964,7.153503521195105e-4,0.01922827819230915,0.03720303736845422,120.81014758536374
Argentina,ARG,Emerging Markets,1995,288.49699999999996,346.845,8295.12,9972.8,34.779,22.862,30.749,127.765,1.959,129.724,4277.956,8870.994252999999,6595.618413999999,3.6736248885821903,0.05632709393599586,3.7299519825181857,0.36836338998688173,0.0056480560480906454,0.37401144603497233,0.014402556957670483,2.2083206731167752e-4,0.01462338902498216,0.019371193416648138,2.970153633875764e-4,0.019668208780035713,0.015101291973728842,123.00399666465395
